"row_id","status","title","category","primary_keyword","secondary_keywords","angle","search_intent","internal_link","word_count"
"BLOG-0001","pending","What Actually Happens When a Subscription Box Ships the Wrong Contents","Online Business Ideas","subscription box fulfillment mistakes","box packing errors; subscriber churn after bad shipment; small box company inventory","Open on the single catastrophic error: wrong contents to 500 subscribers. Show why spreadsheets cannot warn you in time. Stop before the solution and send the reader to the full blueprint.","informational","/idea/subscription-box-curation-software","350"
"BLOG-0002","pending","Why Cobblers Turned Down Your Boots and Who Still Takes Them","Business Ideas That Never Go Out of Style","who repairs goodyear welted boots","mail in boot resoling; luxury handbag restoration; repair over replace","Start with the refusal at the counter. Explain what welted construction needs that a quick-fix booth cannot do. Hand off to the blueprint for the money side.","informational","/idea/premium-leather-boot-recrafting","350"
"BLOG-0003","pending","The Bike Repair Appointment Nobody Wants to Drive To","Business Ideas That Never Go Out of Style","bike shop drop off wait times","mobile bicycle mechanic; at home tune up; bike maintenance plan","Lead with the two-week shop backlog in spring. Show why the van model exists. Send them to the blueprint for the membership economics.","informational","/idea/mobile-bike-tuneup-membership","350"
"BLOG-0004","pending","Gutter Cleaning Is a One-Off. That Is the Problem.","Business Ideas That Never Go Out of Style","how often should gutters be cleaned","gutter guard maintenance; recurring home service contracts; seasonal home upkeep","Open on the once-a-year call and why it is a bad business. Contrast with a maintenance plan. Do not give the pricing; the blueprint does.","informational","/idea/gutter-guard-subscription-service","350"
"BLOG-0005","pending","Your Invoice Looks Amateur and Your Client Noticed","Passive Income Business Ideas","why freelance invoices look unprofessional","trade invoice layout; estimate sheet for contractors; getting paid faster","Open on the moment a tradesperson sends a plain word-processor invoice. Explain what a buyer of templates is really buying. Route to the blueprint.","informational","/idea/invoice-template-sets-trades","350"
"BLOG-0006","pending","The Blank Caption Box Is Why Small Shops Stop Posting","Passive Income Business Ideas","small business social media writers block","caption ideas for local shops; industry specific captions; posting consistently","Open on twenty minutes staring at an empty box. Show that graphics are solved and words are not. Send to the blueprint for how the packs sell.","informational","/idea/social-caption-template-packs","350"
"BLOG-0007","pending","Day One Goes Badly Because Nobody Wrote It Down","Passive Income Business Ideas","small business employee onboarding checklist","first day checklist; new client onboarding; small team process","Open on the new hire at a desk with no logins. Explain why one long manual fails and split checklists work. Blueprint carries the selling side.","informational","/idea/onboarding-checklist-sets-employers","350"
"BLOG-0008","pending","The Date on a Supermarket Coffee Bag Is Not a Roast Date","Part Time Business Ideas","how fresh is supermarket coffee","roast date vs best before; small batch roasting; farmers market coffee","Open on the label most people misread. Explain the freshness window. Point to the blueprint for the weekend stall model.","informational","/idea/weekend-coffee-roasting-market","350"
"BLOG-0009","pending","Two Hundred Resumes, None of Them Licensed","Online Business Ideas","hiring licensed tradespeople problems","trade certification screening; scaffolder recruitment; marine electrician hiring","Open on the hiring manager deleting unqualified applications. Explain why general boards cannot filter a trade ticket. Blueprint holds the model.","informational","/idea/niche-job-board-one-trade","350"
"BLOG-0010","pending","The Crawlspace Photo That Gets Five Contradictory Answers","Online Business Ideas","where do home inspectors ask for second opinions","unverified contractor advice; inspector liability; trade forum noise","Open in the crawlspace with an unfamiliar joint. Show what unverified advice costs when liability is real. Blueprint covers the paid community.","informational","/idea/home-inspector-member-community","350"
